oid,noid,file,packageType,workflow_step,owner,title,description,status,date_created,date_modified,rules_oid
697f983e4734c1b85db5b389189af292,,,dmpt,,aZkaXun0x7HcU9uzl618NxnAlcc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
284b54235df5b5523678861af435d916,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
e0992dfaee75b2c05cc66f3a5ca37286,,,dmpt,,tA_ikaL8kgnZ8wRDcoJ9M6xgmyM,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
3af87814c4af8527e05e47c140dcadf9,1d38b9f0e8deed315341531e0b3e0cc1,,dmpt,,ItZfqB0Pus_2iDRMdvekzAHzk-k,Test,,set: [object Object],,,
57d223bcfc8f4179f8b373a53b1155ff,,,dmpt,,9eFZ-tAvSGdVkUZZn4orDGWDJew,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,4SOKA2k-6jrC7C0LWiYq3ILM9VU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,AejMYldE67lYSNGy76Wx-CMPRms,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
0052f06cd6449bdda00dbec774f860dd,60fa0178eecb1c1a4798ec24ff5f4530,,dmpt,,admin,Predatory strategies and behaviours in cephalopods are altered by elevated CO2,,set: [object Object],,,
b3453e295fa69f023f3d99b749b09e2e,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
d68ce7c7fde052261b6c4091d3d81f67,,,dmpt,,IXvBfFFuAdqmQDJLxLNrk6RR97o,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
e3d312aa92224c02af9391916a672066,,,dmpt,,GIMGn8RMGTHQcn_npENSj_7UL-g,Sexuality-a matter of life and death: successful sexual rehabilitation of Men with Spinal Cord Injury in Nepalpi,,invalid: Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
650cce7a617d8a9c07693a059736ec1b,,,dmpt,,2_4s2A_mKGl3pHO6B2K9QkPBX0o,Behaviour management from an Indigenous perspective: A mixed-methods study,,invalid: Missing value for contributor_data_manager,,,
0827dff9571882c9e97429af876961de,2245310c944c75e07de012b524289601,,dmpt,,QDuFlrAZY-ompNYIC3DFK435vLM,Martino Malerba PhD thesis,,set: [object Object],,,
,,,dmpt,,z8mqaIAvqi1xwXS9eukaIDuuvq0,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
0a9d6a902f64f4b17286852e1efd40d2,2f31344d8fb7e519164aa3792ffe396c,,dmpt,,iyaiAmbhdzskr3ooqcTAalyFaI4,High penetration of Solar Photovoltaics into low-voltage distribution networks: developing novel feeder voltage control strategies,,set: [object Object],,,
2f49cc5990de04e15efdc1b86dae4c58,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
1cacf0d1a3215760a83adccefa428b56,,,dmpt,,JvC6vpC_I0BiZYesH3tcyt4kdDs,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
3ea689e0cb9f2c8db978cdd6f4a81cd0,,,dmpt,,o13nR3LKvt1UTh3vitlBRcHwqXE,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,admin,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
949427297c545a9d401d5fd4a9cf5a81,9b3a871398c8b653d5cc465a52dde106,,dmpt,,nA7BlnsYR3boFHEo5KhLvS8d8Mw,The functional diversity and redundancy of corals,,set: [object Object],,,
63218eb7f51859e0e5ec91f2786b5555,29b227908cbfbd1b471e310f1a027133,,dmpt,,admin,a,,set: [object Object],,,
ac8c1767fe009617b93a9610a582cf13,efa05d442a62de835800346f76b8415b,,dmpt,,VJTnePEydhldtVyUEoDvaMGT13g,Dpsych thesis,,set: [object Object],,,
,,,dmpt,,MiDpHNCb0sPcvp2bCH0xG8p1aiU,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
